School,GP,W,L,WPct,SRS,SOS,Con_W,Con_L,Hm_W,Hm_L,Aw_W,Aw_L,Pts_For,Pts_Ag,MP,FGM,FGA,FG_Pct,PM_3,PA_3,Pct_3,FTM,FTA,FT_Pct,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,17,10,7,0.588,-4.93,0.64,2,2,6,1,3,5,1247,1215,680,445,965,0.461,103,309,0.333,254,354,0.718,207,557,243,163,55,244,354
Air Force,17,3,14,0.176,-12.42,1.17,0,6,3,8,0,5,1054,1285,680,367,845,0.434,99,337,0.294,221,348,0.635,131,516,199,106,51,253,291
Akron,17,13,4,0.765,11.13,-1.14,4,1,9,0,2,2,1581,1288,680,586,1128,0.52,182,489,0.372,227,297,0.764,200,651,345,144,58,183,276
Alabama,17,12,5,0.706,23.63,12.57,2,2,6,2,2,1,1593,1405,680,530,1155,0.459,217,615,0.353,316,415,0.761,224,723,285,115,107,166,345
Alabama A&M,17,9,8,0.529,-12.41,-6.56,2,2,8,2,1,5,1200,1222,680,400,948,0.422,105,334,0.314,295,406,0.727,175,620,193,98,48,205,323
Alabama State,17,5,12,0.294,-13.43,-3.12,2,2,2,1,2,10,1279,1388,680,442,1042,0.424,128,383,0.334,267,380,0.703,217,607,215,148,62,226,313
Albany (NY),17,5,12,0.294,-13.88,-1.6,1,1,3,1,1,8,1266,1298,680,491,1044,0.47,126,385,0.327,158,252,0.627,202,596,253,121,65,212,300
Alcorn State,15,2,13,0.133,-21.47,1.66,1,2,0,0,1,13,980,1327,597,363,882,0.412,113,307,0.368,141,218,0.647,150,440,161,115,57,237,273
American,18,10,8,0.556,-5.56,-2.43,3,2,9,2,1,6,1380,1305,720,489,1080,0.453,163,489,0.333,239,317,0.754,173,581,252,149,26,198,342
Appalachian State,18,10,8,0.556,-6.76,-4.82,3,3,5,2,4,6,1304,1201,725,466,1043,0.447,138,448,0.308,234,383,0.611,225,704,228,88,63,183,294
Arizona,17,17,0,1,28.79,6.62,4,0,10,0,3,0,1547,1170,680,553,1064,0.52,109,294,0.371,332,449,0.739,231,742,323,148,77,203,282
Arizona State,17,10,7,0.588,9.93,8.52,1,3,5,3,1,3,1374,1350,680,465,1014,0.459,131,390,0.336,313,419,0.747,182,575,241,122,77,196,313
Arkansas,17,13,4,0.765,21.15,7.39,3,1,11,0,1,2,1538,1304,680,525,1066,0.492,158,404,0.391,330,437,0.755,194,631,298,137,83,164,271
Arkansas State,17,12,5,0.706,-0.15,-1.35,4,1,7,1,5,4,1416,1326,685,477,1057,0.451,146,457,0.319,316,409,0.773,235,673,252,140,37,241,326
Arkansas-Pine Bluff,17,6,11,0.353,-14.04,2.5,3,1,4,0,2,11,1345,1478,680,476,1081,0.44,137,409,0.335,256,334,0.766,197,610,280,119,54,246,357
Army,18,7,11,0.389,-14.45,-5.7,1,4,4,5,3,5,1362,1420,740,473,1126,0.42,201,591,0.34,215,304,0.707,215,676,273,94,22,209,328
Auburn,17,10,7,0.588,17.73,10.38,1,3,7,1,0,3,1474,1349,690,493,1044,0.472,144,418,0.344,344,475,0.724,245,655,246,135,77,188,287
Austin Peay,15,10,5,0.667,-1.49,-4.19,4,0,6,0,4,5,1209,1042,600,419,943,0.444,140,403,0.347,231,325,0.711,172,557,254,171,41,162,258
Ball State,17,4,13,0.235,-12.17,-2.77,0,5,3,4,0,8,1156,1204,680,410,972,0.422,120,386,0.311,216,312,0.692,164,542,220,133,46,186,268
Baylor,16,11,5,0.688,17.07,6.27,1,3,8,2,1,2,1419,1194,640,497,1001,0.497,137,374,0.366,288,394,0.731,223,647,277,110,83,187,256
