Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kidd,1994-95,21,DAL,NBA,PG,79,79,2670,4.2,10.8,0.385,0.9,3.3,0.272,3.3,7.6,0.433,0.426,2.4,3.5,0.698,1.9,3.5,5.4,7.7,1.9,0.3,3.2,1.8,11.7
Iverson,1996-97,21,PHI,NBA,PG,76,74,3048,8.2,19.8,0.416,2,6,0.341,6.2,13.8,0.448,0.467,5,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5
Nash,1996-97,22,PHO,NBA,PG,65,2,683,1.1,2.7,0.423,0.4,0.8,0.418,0.8,1.8,0.425,0.489,0.6,0.8,0.824,0.2,0.7,1,2.1,0.3,0,1,1.4,3.3
Payton,1990-91,22,SEA,NBA,PG,82,82,2247,3.2,7,0.45,0,0.2,0.077,3.1,6.9,0.459,0.451,0.8,1.2,0.711,1.3,1.6,3,6.4,2,0.2,2.2,3,7.2
Stockton,1984-85,22,UTA,NBA,PG,82,5,1492,1.9,4.1,0.471,0,0.1,0.182,1.9,3.9,0.481,0.474,1.7,2.4,0.736,0.3,1,1.3,5.1,1.3,0.1,1.8,2.5,5.6
Kidd,1995-96,22,DAL,NBA,PG,81,81,3038,6.1,16,0.381,1.6,4.9,0.336,4.4,11.1,0.401,0.433,2.8,4.1,0.692,2.5,4.3,6.8,9.7,2.2,0.3,4,1.9,16.6
Iverson,1997-98,22,PHI,NBA,PG,80,80,3152,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.729,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22
Nash,1997-98,23,PHO,NBA,PG,76,9,1664,3.5,7.7,0.459,1.1,2.6,0.415,2.5,5.1,0.481,0.528,1,1.1,0.86,0.4,1.7,2.1,3.4,0.8,0.1,1.3,1.9,9.1
Payton,1991-92,23,SEA,NBA,PG,81,79,2552,4.1,9.1,0.451,0,0.3,0.13,4,8.8,0.461,0.453,1.2,1.8,0.669,1.5,2.1,3.6,6.2,1.8,0.3,2.1,3.1,9.4
Stockton,1985-86,23,UTA,NBA,PG,82,38,1935,2.8,5.7,0.489,0,0.2,0.133,2.8,5.5,0.501,0.491,2.1,2.5,0.839,0.4,1.8,2.2,7.4,1.9,0.1,2,2.8,7.7
Kidd,1996-97,23,TOT,NBA,PG,55,45,1964,3.9,9.6,0.403,1.1,3,0.37,2.8,6.6,0.418,0.46,2,3,0.679,1.2,3.4,4.5,9,2.3,0.4,2.6,2.1,10.9
Iverson,1998-99,23,PHI,NBA,SG,48,48,1992,9.1,22,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2,26.8
Nash,1998-99,24,DAL,NBA,PG,40,40,1268,2.9,7.9,0.363,1.2,3.3,0.374,1.6,4.6,0.355,0.441,1,1.2,0.826,0.8,2.1,2.9,5.5,0.9,0.1,2.1,2.5,7.9
Payton,1992-93,24,SEA,NBA,PG,82,78,2550,5.8,11.7,0.494,0.1,0.4,0.206,5.7,11.3,0.505,0.498,1.8,2.4,0.77,1.2,2.3,3.4,4.9,2.2,0.3,1.8,3,13.5
Stockton,1986-87,24,UTA,NBA,PG,82,2,1861,2.8,5.6,0.499,0.1,0.5,0.179,2.7,5.2,0.528,0.506,2.2,2.8,0.782,0.4,1.5,1.8,8.2,2.2,0.2,2,2.7,7.9
Kidd,1997-98,24,PHO,NBA,PG,82,82,3116,4.4,10.5,0.416,0.9,2.8,0.313,3.5,7.6,0.454,0.458,2,2.5,0.799,1.3,4.9,6.2,9.1,2,0.3,3.2,1.7,11.6
Iverson,1999-00,24,PHI,NBA,SG,70,70,2856,10.4,24.8,0.421,1.3,3.7,0.341,9.1,21,0.435,0.446,6.3,8.9,0.713,1,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4
Nash,1999-00,25,DAL,NBA,PG,56,27,1534,3.1,6.5,0.477,1.1,2.7,0.403,2,3.8,0.528,0.559,1.3,1.5,0.882,0.6,1.6,2.2,4.9,0.7,0.1,1.8,2.2,8.6
Payton,1993-94,25,SEA,NBA,PG,82,82,2878,7.1,14.1,0.504,0.2,0.7,0.278,6.9,13.5,0.515,0.51,2,3.4,0.595,1.3,2,3.3,6,2.3,0.2,2.1,2.8,16.5
Stockton,1987-88,25,UTA,NBA,PG,82,79,2845,5.5,9.6,0.574,0.3,0.8,0.358,5.2,8.8,0.594,0.589,3.3,4,0.84,0.7,2.2,2.9,13.8,3,0.2,3.2,3,14.7
Kidd,1998-99,25,PHO,NBA,PG,50,50,2060,6.2,14,0.444,0.9,2.5,0.366,5.3,11.5,0.461,0.476,3.6,4.8,0.757,1.7,5,6.8,10.8,2.3,0.4,3,2.2,16.9
Iverson,2000-01,25,PHI,NBA,SG,71,71,2982,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1
Nash,2000-01,26,DAL,NBA,PG,70,70,2387,5.5,11.3,0.487,1.3,3.1,0.406,4.2,8.2,0.518,0.544,3.3,3.7,0.895,0.7,2.5,3.2,7.3,1,0.1,2.9,2.3,15.6
