Name,From,To,Transfer_Year,Position,Rating_247,Star_Rating,From_Conference,To_Conference,Games_Pre_Total,Games_Pre_per_Season,Snap_Count_Pre_Total,Snap_Count_Pre_per_Season,PFF_Grade_Pre_RAW,PFF_Grade_Pre_WT,Games_Post_Total,Games_Post_per_Season,Snap_Count_Post_Total,Snap_Count_Post_per_Season,PFF_Grade_Post_RAW,PFF_Grade_Post_WT,clean_name,from_school_to_home,to_school_to_home
A.J. Campbell,UCLA,Kent State,2022,Edge,0.87,3,Pac-12,MAC,1,1,3,1,59.7,59.7,20,7,271,90,65.18333333,64.68819188,ajcampbell,,
A.J. Hampton,Northwestern,Tulane,2023,CB,0.86,3,Big Ten,AAC,42,8,2030,406,58.81,58.4979064,14,14,366,73,60.1,60.1,ajhampton,,
A.J. Harris,Georgia,Penn State,2024,CB,0.95,4,SEC,Big Ten,7,7,126,126,61.2,61.2,16,16,729,729,78.9,78.9,ajharris,139.7667758,698.3543784
A.J. Henning,Michigan,Northwestern,2023,WR,0.87,3,Big Ten,Big Ten,33,11,533,178,61.83611111,61.79229206,24,12,1079,360,66.15,66.13151066,ajhenning,218.2527831,38.88786276
A.J. Lytton,Florida State,Penn State,2021,S,0.86,3,ACC,Big Ten,21,10,518,259,68.15,67.96312741,11,11,151,76,62.9,62.9,ajlytton,720.1415055,148.875994
AJ Barner,Indiana,Michigan,2023,TE,0.91,4,Big Ten,Big Ten,30,10,986,329,59.91666667,59.89249493,15,15,390,130,75.5,75.5,ajbarner,311.3655022,140.4378588
AJ Odums,New Mexico,UTEP,2023,CB,0.77,2,MWC,C-USA,20,10,937,468,61.225,64.38676628,16,8,1027,514,63.15,65.09230769,ajodums,754.0530231,674.8404356
AJ Reed,Duke,Arkansas,2020,K,0.78,2,ACC,SEC,30,10,194,65,62.15,62.56984536,9,9,47,16,60.7,60.7,ajreed,494.634471,506.3086439
AJ Swann,Vanderbilt,LSU,2024,QB,0.89,3,SEC,SEC,15,8,769,384,62.85,62.69024707,2,2,4,2,40.7,40.7,ajswann,185.7656002,470.6585391
AJ Vongphachanh,Utah State,Brigham Young,2023,LB,0.88,3,MWC,Big 12,40,10,2543,636,62.4125,64.17324027,12,12,925,231,58.9,58.9,ajvongphachanh,476.2203853,558.4382395
AJ Watts,Akron,Louisiana-Monroe,2022,CB,0.81,3,MAC,SBC,28,9,1685,562,59.18333333,57.59189911,12,12,941,314,65.95,65.95,ajwatts,626.3392256,413.1526518
AJ Watts,Louisiana-Monroe,Memphis,2024,S,0.86,3,SBC,AAC,12,12,941,941,65.95,65.95,13,13,823,823,63.8,63.8,ajwatts,,
AJ Williams,Wake Forest,Coastal Carolina,2024,CB,0.82,3,ACC,SBC,50,10,1531,306,57.52,60.09885696,12,12,489,98,71.5,71.5,ajwilliams,199.0150628,120.4752221
Aakil Washington,Liberty,South Alabama,2024,LB,0.82,3,C-USA,SBC,39,10,1482,370,67.925,66.26518219,13,13,483,121,77.6,77.6,aakilwashington,386.6752969,303.9123032
Aamaris Brown,Kansas State,USF,2022,S,0.81,3,Big 12,AAC,13,6,207,104,59.725,59.63864734,23,12,1323,662,61.875,62.1749811,aamarisbrown,1122.38916,0.210670877
Aapri Washington,Buffalo,East Carolina,2022,CB,0.82,3,MAC,AAC,41,10,1949,487,64.425,62.98612109,13,13,382,96,72,72,aapriwashington,540.1553672,197.7725579
Aaron Alexander,Massachusetts,Michigan State,2023,LB,0.85,3,IND,Big Ten,3,3,15,8,61,61,16,8,193,96,67.58333333,68.04576857,aaronalexander,560.8253038,62.81907369
Aaron Blackwell,New Mexico,Arizona,2020,DT,0.74,2,MWC,Pac-12,24,8,924,308,68.46666667,71.1534632,5,5,160,53,57.5,57.5,aaronblackwell,335.5879542,119.5426466
Aaron Boumerhi,Temple,Boston College,2019,K,0.6,Unranked,AAC,ACC,24,8,236,79,58.93333333,57.85338983,23,12,118,39,57.425,56.88601695,aaronboumerhi,173.6159317,377.8956853
Aaron Brule,Mississippi State,Michigan State,2022,LB,0.89,3,SEC,Big Ten,40,10,1698,424,56,57.12529446,24,12,1201,300,63,62.57285595,aaronbrule,251.5617245,935.5656799
Aaron Frost,Nevada,Arizona State,2023,OT,0.9,4,MWC,Pac-12,41,10,2660,665,58.1625,61.37255639,8,8,349,87,62.9,62.9,aaronfrost,408.4854524,361.610312
Aaron Hackett,Syracuse,Kent State,2021,TE,0.78,2,ACC,MAC,41,10,1205,301,63.11666667,64.69744122,14,14,220,55,66.05,66.05,aaronhackett,1158.587103,974.1136911
